# samples=4671226772094713856 bins=1000 xmax=20
x_center, volfrac_A, count_A, count_total
6.890000e+00,1.000000e+00,38459,38459
6.910000e+00,1.000000e+00,38424,38424
6.930000e+00,1.000000e+00,38270,38270
6.950000e+00,1.000000e+00,38577,38577
6.970000e+00,1.000000e+00,38055,38055
6.990000e+00,1.000000e+00,38415,38415
7.010000e+00,1.000000e+00,38056,38056
7.030000e+00,1.000000e+00,38142,38142
7.050000e+00,1.000000e+00,38256,38256
7.070000e+00,1.000000e+00,38573,38573
7.090000e+00,1.000000e+00,39354,39354
7.110000e+00,1.000000e+00,39769,39769
7.130000e+00,1.000000e+00,39331,39331
7.150000e+00,1.000000e+00,39837,39837
7.170000e+00,1.000000e+00,39897,39897
7.190000e+00,1.000000e+00,39987,39987
7.210000e+00,1.000000e+00,40157,40157
7.230000e+00,1.000000e+00,39485,39485
7.250000e+00,1.000000e+00,39411,39411
7.270000e+00,1.000000e+00,38702,38702
7.290000e+00,1.000000e+00,38825,38825
7.310000e+00,1.000000e+00,39138,39138
7.330000e+00,1.000000e+00,39178,39178
7.350000e+00,1.000000e+00,39044,39044
7.370000e+00,1.000000e+00,39259,39259
7.390000e+00,1.000000e+00,38164,38164
7.410000e+00,1.000000e+00,38127,38127
7.430000e+00,1.000000e+00,38488,38488
7.450000e+00,1.000000e+00,38745,38745
7.470000e+00,1.000000e+00,39220,39220
7.490000e+00,9.997385e-01,38235,38245
7.510000e+00,9.998692e-01,38227,38232
7.530000e+00,9.998970e-01,38849,38853
7.550000e+00,9.999224e-01,38632,38635
7.570000e+00,9.999210e-01,37960,37963
7.590000e+00,9.998951e-01,38115,38119
7.610000e+00,9.999228e-01,38879,38882
7.630000e+00,9.999238e-01,39345,39348
7.650000e+00,9.999229e-01,38902,38905
7.670000e+00,9.998962e-01,38524,38528
7.690000e+00,9.996880e-01,38450,38462
7.710000e+00,9.991522e-01,38893,38926
7.730000e+00,9.997242e-01,39871,39882
7.750000e+00,9.997984e-01,39677,39685
7.770000e+00,9.996664e-01,38958,38971
7.790000e+00,9.998978e-01,39121,39125
7.810000e+00,9.999487e-01,38957,38959
7.830000e+00,9.999231e-01,39011,39014
7.850000e+00,9.999490e-01,39188,39190
7.870000e+00,9.999241e-01,39525,39528
7.890000e+00,9.999747e-01,39533,39534
7.910000e+00,9.999493e-01,39409,39411
7.930000e+00,9.999240e-01,39449,39452
7.950000e+00,9.999240e-01,39490,39493
7.970000e+00,9.999490e-01,39177,39179
7.990000e+00,9.999489e-01,39164,39166
8.010000e+00,9.999227e-01,38828,38831
8.030000e+00,9.999225e-01,38695,38698
8.050000e+00,9.999233e-01,39086,39089
8.070000e+00,9.999220e-01,38442,38445
8.090000e+00,9.998693e-01,38250,38255
8.110000e+00,9.999219e-01,38414,38417
8.130000e+00,9.997427e-01,38854,38864
8.150000e+00,9.995612e-01,38721,38738
8.170000e+00,9.993991e-01,38253,38276
8.190000e+00,9.998426e-01,38109,38115
8.210000e+00,9.998701e-01,38474,38479
8.230000e+00,9.998151e-01,37846,37853
8.250000e+00,9.998693e-01,38262,38267
8.270000e+00,9.998960e-01,38470,38474
8.290000e+00,9.998965e-01,38660,38664
8.310000e+00,9.998992e-01,39694,39698
8.330000e+00,9.998999e-01,39972,39976
8.350000e+00,9.998987e-01,39464,39468
8.370000e+00,9.998995e-01,39781,39785
8.390000e+00,9.999492e-01,39371,39373
8.410000e+00,9.998993e-01,39727,39731
8.430000e+00,9.999489e-01,39131,39133
8.450000e+00,9.999235e-01,39210,39213
8.470000e+00,9.999237e-01,39307,39310
8.490000e+00,9.999236e-01,39265,39268
8.510000e+00,9.999228e-01,38851,38854
8.530000e+00,9.998454e-01,38796,38802
8.550000e+00,9.997134e-01,38366,38377
8.570000e+00,9.998205e-01,38986,38993
8.590000e+00,9.997957e-01,39144,39152
8.610000e+00,9.996664e-01,38956,38969
8.630000e+00,9.996887e-01,38533,38545
8.650000e+00,9.996870e-01,38326,38338
8.670000e+00,9.992501e-01,38642,38671
8.690000e+00,9.992024e-01,38834,38865
8.710000e+00,9.990335e-01,39281,39319
8.730000e+00,9.984602e-01,38905,38965
8.750000e+00,9.980798e-01,38463,38537
8.770000e+00,9.984225e-01,38609,38670
8.790000e+00,9.981745e-01,38822,38893
8.810000e+00,9.976631e-01,38850,38941
8.830000e+00,9.980118e-01,39154,39232
8.850000e+00,9.983775e-01,38765,38828
8.870000e+00,9.976829e-01,38752,38842
8.890000e+00,9.976385e-01,38867,38959
8.910000e+00,9.971840e-01,38598,38707
