time,kinetic_energy,potential_energy,total_energy
4.250000,568.405680,1753.820747,2322.226427,0.000000
4.260000,565.218271,1755.383881,2320.602152,0.000000
4.270000,561.249975,1757.269014,2318.518988,0.000000
4.280000,558.100159,1759.406034,2317.506194,0.000000
4.290000,555.067347,1761.511271,2316.578618,0.000000
4.300000,551.697432,1762.363803,2314.061235,0.000000
4.310000,549.205713,1762.512159,2311.717872,0.000000
4.320000,550.239230,1761.526029,2311.765259,0.000000
4.330000,553.503320,1759.696085,2313.199405,0.000000
4.340000,549.184266,1757.730649,2306.914915,0.000000
4.350000,544.400831,1755.285352,2299.686183,0.000000
4.360000,547.302643,1752.237053,2299.539696,0.000000
4.370000,550.808755,1749.465706,2300.274461,0.000000
4.380000,553.659309,1746.200800,2299.860110,0.000000
4.390000,556.946835,1742.847058,2299.793893,0.000000
4.400000,562.529895,1739.969065,2302.498960,0.000000
4.410000,568.403350,1737.423893,2305.827242,0.000000
4.420000,571.237312,1734.567736,2305.805048,0.000000
4.430000,575.077238,1732.300828,2307.378065,0.000000
4.440000,577.523709,1730.347545,2307.871254,0.000000
4.450000,576.939435,1728.973787,2305.913222,0.000000
4.460000,584.489294,1728.096766,2312.586060,0.000000
4.470000,586.039212,1727.774009,2313.813221,0.000000
4.480000,579.955667,1727.056034,2307.011701,0.000000
4.490000,579.913761,1726.477166,2306.390927,0.000000
4.500000,584.821641,1726.920452,2311.742093,0.000000
4.510000,588.363262,1727.000264,2315.363526,0.000000
4.520000,589.957482,1728.078615,2318.036097,0.000000
4.530000,586.404295,1729.467127,2315.871422,0.000000
4.540000,583.479999,1730.241628,2313.721626,0.000000
4.550000,581.078959,1731.378129,2312.457088,0.000000
4.560000,576.800540,1733.072794,2309.873334,0.000000
4.570000,577.100054,1734.746658,2311.846712,0.000000
4.580000,576.950875,1736.858775,2313.809650,0.000000
4.590000,573.821939,1739.269024,2313.090964,0.000000
4.600000,568.516976,1741.617334,2310.134310,0.000000
4.610000,564.605438,1742.840187,2307.445625,0.000000
4.620000,558.806711,1744.232186,2303.038896,0.000000
4.630000,556.122732,1745.287482,2301.410214,0.000000
4.640000,560.882844,1745.662184,2306.545029,0.000000
4.650000,561.425472,1745.562696,2306.988168,0.000000
4.660000,557.877192,1745.192131,2303.069323,0.000000
4.670000,555.645431,1745.165388,2300.810819,0.000000
4.680000,557.180048,1744.975298,2302.155346,0.000000
4.690000,553.510991,1745.156025,2298.667016,0.000000
4.700000,549.746803,1745.657198,2295.404001,0.000000
4.710000,551.092037,1745.389930,2296.481966,0.000000
4.720000,549.721718,1744.716420,2294.438138,0.000000
4.730000,551.398179,1744.042546,2295.440725,0.000000
4.740000,555.690413,1744.165162,2299.855575,0.000000
4.750000,555.253075,1744.043178,2299.296253,0.000000
4.760000,551.151202,1744.049095,2295.200297,0.000000
4.770000,547.478546,1743.872480,2291.351025,0.000000
4.780000,546.423826,1743.654871,2290.078696,0.000000
4.790000,542.963805,1744.100241,2287.064046,0.000000
4.800000,537.742361,1744.647728,2282.390089,0.000000
4.810000,536.294392,1745.448600,2281.742992,0.000000
4.820000,539.446688,1746.799001,2286.245689,0.000000
4.830000,541.715235,1747.772220,2289.487455,0.000000
4.840000,538.625156,1747.980822,2286.605978,0.000000
4.850000,536.011021,1747.277457,2283.288478,0.000000
4.860000,536.649401,1746.240825,2282.890226,0.000000
4.870000,535.970603,1744.691985,2280.662588,0.000000
4.880000,539.179607,1742.874332,2282.053939,0.000000
4.890000,547.665916,1741.034366,2288.700282,0.000000
4.900000,559.173838,1739.119060,2298.292898,0.000000
4.910000,566.482163,1737.771240,2304.253403,0.000000
4.920000,569.116735,1737.113835,2306.230570,0.000000
4.930000,568.807970,1736.662201,2305.470171,0.000000
4.940000,564.004778,1737.169985,2301.174763,0.000000
4.950000,565.593067,1738.023059,2303.616126,0.000000
4.960000,564.442725,1739.550030,2303.992755,0.000000
4.970000,558.102332,1741.234664,2299.336997,0.000000
4.980000,554.600668,1743.090644,2297.691312,0.000000
4.990000,549.651074,1744.430292,2294.081366,0.000000
5.000000,540.401975,1746.070623,2286.472599,0.000000
5.010000,536.716139,1748.298070,2285.014208,0.000000
5.020000,534.669634,1749.688578,2284.358212,0.000000
5.030000,528.233202,1750.571565,2278.804767,0.000000
5.040000,522.751725,1751.668375,2274.420100,0.000000
